Scheduled Principal,Curtailments,Curtailment Adjustments,Prepayment,Repurchase Principal,Other Principal Adjustments,Liquidation Principal,Principal Losses
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115.57,84.23,0.0,0.0,0.0,0.0,0.0,0.0
139.17,3.52,0.0,0.0,0.0,0.0,0.0,0.0
118.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.97,527.51,0.0,0.0,0.0,0.0,0.0,0.0
109.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
371.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
968.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174.55,0.22,0.0,0.0,0.0,0.0,0.0,0.0
67.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.93,0.23,0.0,0.0,0.0,0.0,0.0,0.0
49.09,0.0,0.0,196862.6,0.0,0.0,0.0,0.0
71.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214.35,10.76,0.07,0.0,0.0,0.0,0.0,0.0
38.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183.01,86.84,0.51,0.0,0.0,0.0,0.0,0.0
203.87,0.0,0.0,271895.25,0.0,0.0,0.0,0.0
82.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
376.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1065.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,-0.01,0.0,0.0,0.0,0.0,0.0
32.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.38,29.62,0.2,0.0,0.0,0.0,0.0,0.0
213.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.87,38.54,0.38,0.0,0.0,0.0,0.0,0.0
87.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.97,0.0,-0.09,0.0,0.0,0.0,0.0,0.0
40.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.71,7.36,0.0,0.0,0.0,0.0,0.0,0.0
62.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186.7,0.0,0.0,262429.75,0.0,0.0,0.0,0.0
44.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,210629.76,0.0,0.0,0.0,0.0
200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,222935.24,0.0,0.0,0.0,0.0
50.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
